track_name,artist,album,release_date,language,danceability,energy,valence,tempo,speechiness,acousticness
Pop like this Pt. 2 - Slowed,prodbycpkshawn,Pop like this Pt. 2 (Slowed),2024-06-01,English,0.772,0.423,0.281,157.156,0.0562,0.00905
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular (Music from the HBO Original Series),2023-06-02,English,0.854,0.674,0.848,99.022,0.184,0.0517
Pop like this Pt. 2,prodbycpkshawn,Pop like this Pt. 2,2024-05-29,English,0.842,0.461,0.48,100.001,0.0675,0.000624
Pop Out (feat. Lil Tjay),Polo G,Die A Legend,2019-06-07,English,0.772,0.639,0.261,168.112,0.467,0.15
Pop like this Pt. 2 - Slowed,prodbycpkshawn,Pop like this Pt. 2 (Slowed),2024-05-29,English,0.772,0.423,0.281,157.156,0.0562,0.00905
Popular Monster,Falling In Reverse,Popular Monster,2019-11-20,English,0.461,0.897,0.358,165.107,0.092,0.00821
Popular Monster,Falling In Reverse,Popular Monster,2024-08-16,English,0.461,0.898,0.353,165.079,0.0931,0.0083
Poppin,Yeat,2 Alivë,2022-02-18,English,0.705,0.613,0.259,74.521,0.123,0.262
Pop like this Pt. 2 - Sped Up,prodbycpkshawn,Pop like this Pt. 2 (Sped Up),2024-05-22,English,0.847,0.559,0.476,108.004,0.0498,0.000401
POPTHATRUNK,1nonly,POPTHATRUNK,2023-08-25,English,0.73,0.782,0.593,180.068,0.05,0.0766
Pop Muzik,M,Pop Muzik,2022-06-03,English,0.935,0.833,0.967,108.914,0.0438,0.279
Pop Star,Coco & Clair Clair,Sexy,2022-11-04,English,0.891,0.67,0.938,128.046,0.135,0.203
Dior,Pop Smoke,Meet The Woo,2019-07-26,English,0.548,0.805,0.649,142.096,0.351,0.212
POP!,NAYEON,IM NAYEON,2022-06-24,English,0.795,0.859,0.356,96.986,0.0542,0.0361
Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),1994-09-13,English,0.78,0.575,0.773,84.492,0.273,0.43
Pop Rocks,Cherry Hencefox,Pop Rocks,2023-04-10,English,0.741,0.963,0.747,134.991,0.0517,0.0298
Poppin' My Collar (feat. Project Pat),Three 6 Mafia,Most Known Unknown,2006-06-20,English,0.729,0.795,0.856,146.747,0.144,0.354
Pop Out,Big Boogie,UNDERRATED,2021-12-24,English,0.831,0.715,0.443,135.98,0.251,0.0354
Pop See Ko,Koo Koo,"Cafetorium Songs, Vol. 1",2016-05-20,English,0.901,0.76,0.638,134.021,0.84,0.298
Pop like this Pt. 2,prodbycpkshawn,Pop like this Pt. 2,2024-04-17,English,0.842,0.461,0.481,100.001,0.0677,0.000624
Pop Star,Coco & Clair Clair,Pop Star,2020-12-18,English,0.891,0.67,0.938,128.046,0.135,0.203
POP/STARS,K/DA,POP/STARS,2018-11-03,English,0.566,0.769,0.385,170.036,0.0872,0.0183
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular (Music from the HBO Original Series),2023-06-02,English,0.844,0.677,0.841,98.995,0.158,0.0406
POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),2020-07-17,English,0.8,0.56,0.45,163.071,0.261,0.057
"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,Wicked (Original Broadway Cast Recording / Deluxe Edition),2013-01-01,English,0.711,0.228,0.548,88.714,0.172,0.776
Pope Is a Rockstar,SALES,SALES LP,2016-04-20,English,0.725,0.446,0.311,90.024,0.0287,0.85
Pop,OsamaSon,Flex Musix,2023-12-08,English,0.588,0.484,0.337,161.178,0.153,0.0219
pop ur shit,21 Savage,american dream,2024-01-12,English,0.853,0.533,0.306,123.066,0.126,0.263
Popular Loner,Rod Wave,PTSD,2019-06-14,English,0.684,0.62,0.773,159.893,0.188,0.0541
Poppin' Them Thangs,G-Unit,Beg For Mercy,2003-01-01,English,0.769,0.818,0.918,88.017,0.192,0.263
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,English,0.709,0.548,0.543,83.995,0.353,0.65
Pop Shit (feat. Baby Grizzley),Tee Grizzley,Post Traumatic,2024-10-04,English,0.82,0.775,0.484,97.032,0.176,0.105
Pop You,Stunna Girl,"Get a Rook Beat, Vol. 2",2018-08-15,English,0.607,0.701,0.227,169.951,0.43,0.487
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,English,0.823,0.586,0.347,125.971,0.2,0.114
Pop Shit (feat. Baby Grizzley),Tee Grizzley,Post Traumatic,2024-10-03,English,0.826,0.783,0.503,97.001,0.176,0.08
Popcorn,Hot Butter,28 Big Ones,2005,English,0.784,0.627,0.952,136.879,0.0572,0.0425
Poplar St,Glass Animals,How To Be A Human Being,2016-08-26,English,0.575,0.446,0.259,68.985,0.0296,0.247
It's Playtime,Mob Entertainment,Poppy Playtime Ch. 1 (Original Game Soundtrack),2021-10-15,English,0.16,0.182,0.0392,83.048,0.0374,0.995
Pop Goes the Weasel,Mother Goose Club,Mother Goose Club Sings Nursery Rhymes Vol. 5: Rhyme Around the Rosy,2013-05-21,English,0.834,0.571,0.916,109.937,0.0615,0.64
Pop,*NSYNC,Celebrity,2001-07-24,English,0.706,0.861,0.923,119.946,0.154,0.0341
Pop That,French Montana,Excuse My French,2013-01-01,English,0.734,0.892,0.605,138.031,0.125,0.0648
Pop,Sophie Hunter,Pop,2023-03-29,English,0.816,0.722,0.906,103.937,0.343,0.0746
Pop Out (feat. Nardo Wick),Lil Baby,It's Only Me,2022-10-14,English,0.464,0.558,0.346,158.881,0.289,0.00275
Pop,OsamaSon,Flex Musix (FLXTRA),2024-02-16,English,0.588,0.484,0.337,161.178,0.153,0.0219
Pop Style,Drake,Views,2016-05-06,English,0.713,0.462,0.0594,133.053,0.123,0.192
Pop,La Oreja de Van Gogh,El Viaje de Copperpot,2000-09-07,English,0.719,0.788,0.751,133.58,0.0284,0.023
Poppy Puppy,Kim Akvileja,Poppy Puppy,2024-01-05,English,0.622,0.0904,0.655,120.325,0.0583,0.993
Pop,Ari Lennox,Shea Butter Baby,2019-05-07,English,0.631,0.315,0.335,144.87,0.0459,0.809
"Pop, Lock & Drop It - Video Edit",Huey,Notebook Paper,2006,English,0.723,0.644,0.645,144.09,0.222,0.00308
Pop,New Kids On The Block,Still Kids,2024-05-17,English,0.658,0.76,0.534,121.973,0.0322,0.0388
Rockstar,LISA,Rockstar,2024-06-27,English,0.668,0.628,0.568,140.053,0.046,0.129
Rock and A Hard Place,Bailey Zimmerman,Religiously. The Album.,2023-01-11,English,0.582,0.568,0.394,121.991,0.0275,0.577
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,English,0.746,0.69,0.497,89.977,0.164,0.247
Rock Your Body,Justin Timberlake,Justified,2002-11-04,English,0.892,0.714,0.817,100.972,0.141,0.201
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Speak Your Mind (Deluxe),2018-04-27,English,0.724,0.759,0.765,101.946,0.0542,0.412
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,1972-05-19,English,0.601,0.532,0.342,136.576,0.0286,0.433
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,2018-04-27,English,0.585,0.52,0.129,159.798,0.0713,0.124
Rocking A Cardigan in Atlanta,lil Shordie Scott,Rocking A Cardigan in Atlanta,2022-01-29,English,0.803,0.64,0.816,140.073,0.151,0.583
Rock with You - Single Version,Michael Jackson,Off the Wall,1979-08-10,English,0.808,0.535,0.848,114.031,0.0353,0.179
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,English,0.507,0.705,0.46,89.772,0.248,0.234
ROCKSTAR,Junior H,$AD BOYZ 4 LIFE II,2023-10-05,English,0.761,0.658,0.895,125.036,0.0429,0.292
Rockstar,Nickelback,All the Right Reasons - Special Edition,2005-09-26,English,0.616,0.91,0.693,144.072,0.0386,0.0459
Rock N Roll,Ken Carson,Project X,2021-07-23,English,0.673,0.571,0.042,141.957,0.0488,0.0737
rock your hips,310babii,rock your hips,2024-05-03,English,0.866,0.759,0.762,104.997,0.221,0.047
Rock'n Me,Steve Miller Band,Fly Like An Eagle,1976-01-01,English,0.695,0.582,0.892,122.433,0.0651,0.297
rockstar,Post Malone,beerbongs & bentleys,2018-04-27,English,0.595,0.507,0.137,159.729,0.0812,0.145
Rock Salt and Nails (Live),Tyler Childers,Live on Red Barn Radio I & II,2018-06-29,English,0.449,0.296,0.139,139.828,0.0361,0.892
Rocky Theme,Gonna Fly Now,Rocky Theme,2014-08-30,English,0.328,0.969,0.322,97.417,0.121,0.0082
Rockstar - 2020 Remaster,Nickelback,All The Right Reasons - 15th Anniversary Expanded Edition,2005,English,0.621,0.913,0.679,144.073,0.0385,0.0477
Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,1964-10-19,English,0.598,0.47,0.879,67.086,0.0496,0.617
Lovers Rock,TV Girl,French Exit,2014-06-05,English,0.559,0.871,0.572,104.97,0.0397,7.53e-06
Rock the Casbah - Remastered,The Clash,Combat Rock (Remastered),1982,English,0.797,0.872,0.866,129.885,0.0575,0.291
Rocky Top,The Osborne Brothers,Bluegrass Then & Now,2008-05-20,English,0.549,0.673,0.923,156.814,0.0296,0.0763
Rock You Like A Hurricane,Scorpions,Love At First Sting,1984-03-27,English,0.482,0.617,0.718,125.697,0.0458,0.00543
Rock Lobster,The B-52's,The B-52's,1979-07-11,English,0.592,0.882,0.442,92.157,0.0468,0.00884
Rocketeer,Far East Movement,Free Wired,2010-01-01,English,0.664,0.845,0.357,96.005,0.0462,0.181
Rock Wit U (Awww Baby),Ashanti,Chapter II,2003-01-01,English,0.71,0.797,0.849,94.998,0.0583,0.409
Rocky Mountain High,John Denver,Rocky Mountain High,1972-09-15,English,0.455,0.437,0.724,81.396,0.0278,0.314
Rock And Roll All Nite,KISS,Dressed To Kill,1975-03-19,English,0.654,0.929,0.902,144.769,0.0998,0.0474
Rockin' Robin,Bobby Day,Rockin' Robin,1958-01-01,English,0.541,0.608,0.938,171.992,0.106,0.298
The Rock Show,blink-182,Take Off Your Pants And Jacket,2001,English,0.409,0.959,0.83,193.144,0.0869,0.000324
Rockabye Billy,Milk In The Microwave,Rockabye Billy,2024-08-19,English,0.525,0.338,0.724,66.913,0.0276,0.785
Rockstar Made,Playboi Carti,Whole Lotta Red,2020-12-25,English,0.773,0.612,0.381,149.999,0.232,0.0398
Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],Getter Jaani,Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],2018-12-14,English,0.659,0.936,0.884,161.983,0.0606,0.283
Rock and Roll - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1971-11-08,English,0.317,0.887,0.871,169.613,0.0375,0.000582
Rockefeller Street (Nightcore),Caleb Hyles,Rockefeller Street (Nightcore),2020-10-09,English,0.662,0.921,0.76,162.951,0.049,0.0254
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,English,0.717,0.73,0.792,102.002,0.0568,0.383
Rock a Bye Baby,Nursery Rhymes 123,Lullaby Baby,2016-01-26,English,0.633,0.0789,0.296,89.931,0.0309,0.987
Rock Of Ages,Def Leppard,Pyromania (Deluxe),1983-01-20,English,0.706,0.785,0.636,105.893,0.041,0.00802
Rockstar - Extended,LISA,Rockstar,2024-06-27,English,0.645,0.688,0.587,139.957,0.043,0.0606
ROCKSTAR,HARDY,Quit!!,2024-07-12,English,0.542,0.962,0.659,150.025,0.0911,0.000474
Rocky Top - Live,Dolly Parton,Live and Well,2004-09-14,English,0.504,0.908,0.706,156.2,0.139,0.337
Rock 'n' Roll (Part 2),Gary Glitter,Glitter,1973,English,0.71,0.314,0.401,129.124,0.082,0.000292
Rockin' That Shit,The-Dream,Love Vs Money,2009-01-01,English,0.672,0.62,0.626,77.993,0.0442,0.124
Rock-a-Bye Baby,CoComelon,"CoComelon Kids Hits, Vol. 2",2020-01-24,English,0.715,0.217,0.509,119.902,0.0319,0.822
Rocky Mountain Way,Joe Walsh,"The Smoker You Drink, The Player You Get",1973-06-18,English,0.493,0.376,0.419,86.47,0.0435,0.0241
ROCKING A CARDIGAN IN ATLANTA,lil Shordie Scott,The Twin Society,2022-07-29,English,0.869,0.616,0.724,140.051,0.11,0.471
Rock My Body,R3HAB,Rock My Body (with INNA & Sash!),2023-04-28,English,0.662,0.821,0.47,124.077,0.13,0.202
Rock That Body,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,English,0.715,0.907,0.841,124.991,0.0993,0.0172
Rock N Roll Rules,HAIM,TROLLS World Tour (Original Motion Picture Soundtrack),2020-03-13,English,0.649,0.777,0.723,119.541,0.261,0.113
Hip-Hop,Dead Prez,Let's Get Free,2000-02-08,English,0.725,0.737,0.219,77.162,0.324,0.000633
Hip Hop Hooray,Naughty By Nature,19NaughtyIII,1993-02-23,English,0.862,0.642,0.765,99.2,0.101,0.102
Hip Hop,August Alsina,This Thing Called Life,2015-12-11,English,0.596,0.796,0.759,80.092,0.146,0.177
Hip-Hop,Freddy Rugga,Hip-Hop,2016-02-26,English,0.807,0.558,0.559,164.004,0.367,0.0688
Hip-Hip,Campel,Hip-Hip,2024-06-03,English,0.808,0.776,0.438,79.968,0.2,0.0391
Hip-Hop,Dead Prez,"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",2019-04-19,English,0.583,0.543,0.192,78.221,0.403,0.000642
Hip-Hop Saved My Life (feat. Nikki Jean),Lupe Fiasco,Lupe Fiasco's The Cool,2007-01-01,English,0.705,0.684,0.246,100.006,0.145,0.0353
Hip Hop Sinister,Hopsin,Knock Madness,2013-11-26,English,0.582,0.618,0.0798,181.008,0.298,0.0639
Hip-Hop,PaceWon & Mr. Green,The Only Color That Matters is Green,2008-01-01,English,0.719,0.828,0.492,92.006,0.061,0.00649
Hip Hop,Mos Def,Black On Both Sides,1999-10-12,English,0.592,0.861,0.794,90.238,0.249,0.024
Hip Hip Hooray - Hippopotamus,Mary Rice Hopkins,Mary Rice Hopkins & Company - 15 Singable Songs For The Young At Heart,1997-01-01,English,0.783,0.502,0.862,153.077,0.0349,0.49
Hip-Hop,"Royce Da 5'9""","The Heaven Experience, Vol. 1",2022-08-12,English,0.707,0.757,0.867,99.988,0.228,0.00729
Hip-Hop Hasta la Tumba,Maniako,Dónde Estás,2018-02-13,English,0.902,0.623,0.967,89.993,0.105,0.0795
Hip Hop Fury,GZA,Beneath The Surface,1999-06-29,English,0.526,0.83,0.632,172.266,0.332,0.0453
Hip-Hop,PaceWon & Mr. Green,The Only Color That Matters is Green,2008-01-01,English,0.719,0.827,0.5,91.998,0.0591,0.00667
Hip Hop Phile,BTS,Dark & Wild,2014-08-20,English,0.796,0.878,0.795,144.0,0.185,0.171
Hip Hop Police - Main,Chamillionaire,Ultimate Victory,2007-01-01,English,0.816,0.906,0.704,98.009,0.209,0.056
Hip-Hop,Left Lane Cruiser,Junkyard Speed Ball,2011-03-01,English,0.455,0.867,0.646,145.553,0.072,0.0494
Hip Hop Hooray,Naughty By Nature,The Naughtiest,2024-10-04,English,0.869,0.781,0.769,99.376,0.0679,0.0663
Hip Hoop Lounge Jazz Room - Instrumental,Freidbeat,Hip Hoop Lounge Jazz Room (Instrumental),2023-02-18,English,0.675,0.641,0.627,180.071,0.386,0.04
Hip-Hop,Boombox,Family бізнес,2006,English,0.74,0.928,0.895,140.526,0.175,0.0292
Still Dreaming,Nas,Hip Hop Is Dead (Expanded Edition),2007-01-23,English,0.546,0.827,0.598,120.262,0.214,0.105
Hip Hop Soldier,Sir Mix-A-Lot,Swass,1988-01-01,English,0.87,0.551,0.616,98.141,0.279,0.0162
Hip-Hop,Cognito,Automatic,2010-04-20,English,0.434,0.733,0.397,80.082,0.375,0.42
Hip Hop - Mashup,Trinix Remix,Hip Hop (Mashup),2022-01-21,English,0.484,0.806,0.681,103.512,0.408,0.0404
HIP HOP CON100CIA #38 - PADRE,Al2 El Aldeano,HIP HOP CON100CIA #38 - PADRE,2024-06-26,English,0.821,0.57,0.356,90.936,0.331,0.237
Hip-Hop,Itzo Hazarta,Nepravilen Rap,2019-05-18,English,0.913,0.448,0.486,89.008,0.258,0.0635
Hip Hop Is Dead,Nas,Hip Hop Is Dead (Expanded Edition),2006-12-19,English,0.758,0.74,0.613,110.831,0.203,0.0156
